record_id,company_id,exhibition_id,edition_year,participation_status,is_current_confirmed,historical_appearance_count,appearance_years,return_likelihood_score,company_name_raw,company_name_normalized,company_aliases,legal_name,official_domain,best_known_website,country,ksa_presence,riyadh_presence,sector,booth_or_sponsor_notes,general_email,sales_email,marketing_email,other_public_email,public_phone,public_whatsapp,linkedin_company,instagram,facebook,x_profile,youtube,other_public_profile,google_business,public_contact_name,public_contact_title,public_contact_profile,best_contact_channel,core_media_service_fit,opportunity_score,opportunity_tier,source_relationship,verification_status,confidence,participation_source_url,contact_source_url,source_checked_at,last_verified_at,notes
exh-saag-2026-0001,co-saag-2026-2mbio-co-ltd-south-korea,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,"2MBio Co., Ltd.","2MBio Co., Ltd.",,,2mbio.co.kr,http://www.2mbio.co.kr,South Korea,current Saudi Agriculture exhibitor; no separate KSA operating presence verified,current Riyadh exhibition participation only,Crop Farming,Stand 1-186,2mbitech2014@gmail.com,,,,+82 31-647-3147,,,,,,,,,,,,email,agriculture exhibition booth/media/activation opportunity,50,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://bizno.net/article/1358652055,2026-07-18,2026-07-20,"Enrichment batch 1: Korean business-directory source found website, email, phone, and address; treat contact details as discovery_only until cross-verified."
exh-saag-2026-0002,co-saag-2026-4d-bios-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,"4D Bios Co., Ltd.","4D Bios Co., Ltd.",,,4d-bios.com,http://www.4d-bios.com,China,Saudi partner signal reported by company history; current Riyadh exhibition participation confirmed,current Riyadh exhibition participation only,Agriculture Technologies,"Stand 1-377; Products: Hydroponics, Smart Farming, Vertical Farming",Support@4d-bios.com,Business@4d-bios.com,,,,,,,,,,,,,,,sales_email,agriculture exhibition booth/media/activation opportunity,68,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://4d-bios.com/contact-us,2026-07-18,2026-07-20,Enrichment batch 1: official contact emails captured from 4D Bios contact page; company history mentions 2025 strategic cooperation with Saudi plant-factory company MOWREQ.
exh-saag-2026-0003,co-saag-2026-abdul-rahman-obaid-nafil-al-harbi-agricultural-est-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Abdul Rahman Obaid Nafil Al-Harbi Agricultural Est.,Abdul Rahman Obaid Nafil Al-Harbi Agricultural Est.,,,,,Saudi Arabia,Saudi Arabia company per official exhibitor record,current Riyadh exhibition participation only,,Stand 4-280,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,35,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,"Enrichment batch 1: no stable public website, LinkedIn, or contact source found beyond official exhibitor listing."
exh-saag-2026-0004,co-saag-2026-al-rasheed-com-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Abdullah Mohammed Al-Rasheed & Partners Co.,Abdullah Mohammed Al-Rasheed & Partners Co.,,,al-rasheed.com.sa,http://www.al-rasheed.com.sa,Saudi Arabia,Saudi Arabia company per official exhibitor record,current Riyadh exhibition participation only,Crop Farming,Stand 1-419; Products: Fertilizers & Pesticides,,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,45,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,Enrichment batch 1: website listed by official exhibitor directory; no verified public contact page captured in this pass.
exh-saag-2026-0005,co-saag-2026-aedesarrollo-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,"AE Desarrollo & Crecimiento, S.L.U.","AE Desarrollo & Crecimiento, S.L.U.","AE. DESARROLLO & CRECIMIENTO, S.L.; AE Group Desarrollo & Crecimiento","AE. DESARROLLO & CRECIMIENTO, S.L.",aedesarrollo.com,http://aedesarrollo.com,Spain,current Riyadh exhibition participation only,current Riyadh exhibition participation only,"Organic & Agro-Food, Agro-Food Processing & Packaging","Stand 1-260; Products: Dairy Products, Agro-Food Production & Processing",,,,,,,,,,,,https://us.kompass.com/c/ae-desarrollo-crecimiento-s-l/es990010903538/,,,,,website,agriculture exhibition booth/media/activation opportunity,48,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://us.kompass.com/c/ae-desarrollo-crecimiento-s-l/es990010903538/,2026-07-18,2026-07-20,Enrichment batch 1: Kompass profile confirms Lleida animal-feed/wholesale activity and website but does not expose direct public contact details without gated service.
exh-saag-2026-0006,co-saag-2026-afaqvet-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,AFAQVET,AFAQVET,Afaq AlBaitrah Trading Co.; AFAQ ALBAITRAH TRADING CO. LTD.,Afaq AlBaitrah Trading Co. Ltd.,afaqvet.com,https://www.afaqvet.com/en-us,Saudi Arabia,Saudi/GCC veterinary-product supplier; Jeddah address and central Saudi distribution noted,central Saudi distribution signal; current Riyadh exhibition participation confirmed,,Stand 1-420,Info@afaqvet.com,,,,,,https://www.linkedin.com/company/afaqvet,,,,,,,,,,email,agriculture exhibition booth/media/activation opportunity,78,high,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.afaqvet.com/en-us/contact,2026-07-18,2026-07-20,Enrichment batch 1: official website/contact page and public LinkedIn company page captured; no public phone verified on contact page.
exh-saag-2026-0007,co-saag-2026-aggrowth-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,AGI EMEA SRL,AGI EMEA SRL,,AGI EMEA srl,aggrowth.com,http://www.aggrowth.com,Italy,current Saudi Agriculture exhibitor; no separate KSA operating presence verified,current Riyadh exhibition participation only,Agro-Food Processing & Packaging,Stand 4-470; Products: Refrigeration & Storage,emea@aggrowth.com,,,,,,https://www.linkedin.com/company/agiemea,,,,,,,,,,email,agriculture exhibition booth/media/activation opportunity,58,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.linkedin.com/company/agiemea,2026-07-18,2026-07-20,"Enrichment batch 1: public LinkedIn company page captured email, company description, and headquarters; contact treated as discovery_only from social/public page."
exh-saag-2026-0008,co-saag-2026-agremax-net,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agremax General Trading LLC,Agremax General Trading LLC,,,agremax.net,http://www.agremax.net/,UAE,current Saudi Agriculture exhibitor; UAE company with regional export activity,current Riyadh exhibition participation only,"Crop Farming, Poultry Livestock & Dairy Farming","Stand 3-150; Products: Fertilizers & Pesticides, Animal Health & Technologies, Feeds & Additives",Info@agremax.net,,,,+971 4 326 5574,+971 56 160 0272,https://www.linkedin.com/company/agremaxgtllc,,,,,,,,,,whatsapp,agriculture exhibition booth/media/activation opportunity,66,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.linkedin.com/company/agremaxllc,2026-07-18,2026-07-20,"Enrichment batch 1: two public LinkedIn company pages were found for the AgreMax brand; exact-name page kept as LinkedIn record, recent brand page used for email/WhatsApp evidence."
exh-saag-2026-0009,co-saag-2026-agricointl-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agrico International DMCC,Agrico International DMCC,,AGRICO International DMCC,agricointl.com,http://www.agricointl.com/,UAE,current Saudi Agriculture exhibitor; UAE agro-commodities company,current Riyadh exhibition participation only,"Organic & Agro-Food, Poultry Livestock & Dairy Farming","Stand 3-170; Products: Dairy Products, Feeds & Additives",office@agricointl.com,,,,+971 4 577 6365,,,,,,,,,,,,email,agriculture exhibition booth/media/activation opportunity,64,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.agricointl.com/,2026-07-18,2026-07-20,"Enrichment batch 1: official website captured Dubai/Ajman offices, phone, and email; WhatsApp link exists but number was not exposed in crawl output, so it was not recorded."
exh-saag-2026-0010,co-saag-2026-agricool-group-agritech-for-trading-est-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agricool Group (Agritech for Trading Est.),Agricool Group (Agritech for Trading Est.),,,,,Saudi Arabia,Saudi Arabia company per official exhibitor record,current Riyadh exhibition participation only,,Stand 1-467,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,35,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,"Enrichment batch 1: no stable public website, LinkedIn, or contact source found for Agricool Group / Agritech for Trading Est. in this pass."
