raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,AAtek GmbH,H2.G20,,,,,,,AAtek GmbH,https://biomiddleeast.com/exhibitors/aatek-gmbh,https://biomiddleeast.com/exhibitor-list-2026
2,Accurate Engineers,H1.J03,,,,,,,Accurate Engineers,https://biomiddleeast.com/exhibitors/accurate-engineers,https://biomiddleeast.com/exhibitor-list-2026
3,MEPEQ Integration DWC LLC,B1.D11,,,,,,,MEPEQ Integration DWC LLC,https://biomiddleeast.com/exhibitors/mepeq-integration-dwc-llc,https://biomiddleeast.com/exhibitor-list-2026
4,Dr Soliman Fakeeh Hospital Company,B1.A12,,,,,,,Dr Soliman Fakeeh Hospital Company,https://biomiddleeast.com/exhibitors/dr-soliman-fakeeh-hospital-company,https://biomiddleeast.com/exhibitor-list-2026
5,Al Nawras Arabia Medical Company,B1.D20,,,,,,,Al Nawras Arabia Medical Company,https://biomiddleeast.com/exhibitors/al-nawras-arabia-medical-company,https://biomiddleeast.com/exhibitor-list-2026
6,Lonza Bioscience Singapore Pte Ltd,B1.D22,,,,,,,Lonza Bioscience Singapore Pte Ltd,https://biomiddleeast.com/exhibitors/lonza-bioscience-singapore-pte-ltd,https://biomiddleeast.com/exhibitor-list-2026
7,Amgen Saudi Arabia Limited,B1.G25,,,,,,,Amgen Saudi Arabia Limited,https://biomiddleeast.com/exhibitors/amgen-saudi-arabia-limited,https://biomiddleeast.com/exhibitor-list-2026
8,ObelysQ SA,B1.E10,,,,,,,ObelysQ SA,https://biomiddleeast.com/exhibitors/obelysq-sa,https://biomiddleeast.com/exhibitor-list-2026
9,Camelx - Biomedical & Research,B1.D25,,,,,,,Camelx - Biomedical & Research,https://biomiddleeast.com/exhibitors/camelx-biomedical-research,https://biomiddleeast.com/exhibitor-list-2026
10,Balsam Clinical Research,B1.F23,,,,,,,Balsam Clinical Research,https://biomiddleeast.com/exhibitors/balsam-clinical-research,https://biomiddleeast.com/exhibitor-list-2026
11,FEATURE,100,,,,,,,FEATURE,https://biomiddleeast.com/exhibitors/feature,https://biomiddleeast.com/exhibitor-list-2026
12,OmicsQuery,B1.E30,,,,,,,OmicsQuery,https://biomiddleeast.com/exhibitors/omicsquery,https://biomiddleeast.com/exhibitor-list-2026
13,Pharma Knowledge Consulting,B1.E16,,,,,,,Pharma Knowledge Consulting,https://biomiddleeast.com/exhibitors/pharma-knowledge-consulting,https://biomiddleeast.com/exhibitor-list-2026
14,"Sinovac Holding Group Co., Ltd.",B1.G26,,,,,,,"Sinovac Holding Group Co., Ltd.",https://biomiddleeast.com/exhibitors/sinovac-holding-group-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
15,Johnson & Johnson Trading Limited,B1.C10,,,,,,,Johnson & Johnson Trading Limited,https://biomiddleeast.com/exhibitors/johnson-johnson-trading-limited,https://biomiddleeast.com/exhibitor-list-2026
16,Boston Oncology Arabia,B1.B16,,,,,,,Boston Oncology Arabia,https://biomiddleeast.com/exhibitors/boston-oncology-arabia,https://biomiddleeast.com/exhibitor-list-2026
17,Metina Pharmconsulting PVT. LTd.,H2.C45,,,,,,,Metina Pharmconsulting PVT. LTd.,https://biomiddleeast.com/exhibitors/metina-pharmconsulting-pvt-ltd,https://biomiddleeast.com/exhibitor-list-2026
18,Diaverum Advanced for Medical Services Company,B1.E12,,,,,,,Diaverum Advanced for Medical Services Company,https://biomiddleeast.com/exhibitors/diaverum-advanced-medical-services-company,https://biomiddleeast.com/exhibitor-list-2026
19,"YICHANG SANXIA PROUDIN BIOPHARMACEUTICAL CO.,LTD",H2.G71,,,,,,,"YICHANG SANXIA PROUDIN BIOPHARMACEUTICAL CO.,LTD",https://biomiddleeast.com/exhibitors/yichang-sanxia-proudin-biopharmaceutical-coltd,https://biomiddleeast.com/exhibitor-list-2026
20,"BIONL, INC",B1.D26,,,,,,,"BIONL, INC",https://biomiddleeast.com/exhibitors/bionl-inc,https://biomiddleeast.com/exhibitor-list-2026
21,INDIAN CORK MILLS PVT. LTD.,H2.B49,,,,,,,INDIAN CORK MILLS PVT. LTD.,https://biomiddleeast.com/exhibitors/indian-cork-mills-pvt-ltd,https://biomiddleeast.com/exhibitor-list-2026
22,J.B. Khokhani & Co.,H2.G74,,,,,,,J.B. Khokhani & Co.,https://biomiddleeast.com/exhibitors/jb-khokhani-co,https://biomiddleeast.com/exhibitor-list-2026
23,EUROGROUP LLC,B1.E32,,,,,,,EUROGROUP LLC,https://biomiddleeast.com/exhibitors/eurogroup-llc,https://biomiddleeast.com/exhibitor-list-2026
24,Shenzhen Mellow Hope Pharm Industrial Co. Ltd.,H2.G78,,,,,,,Shenzhen Mellow Hope Pharm Industrial Co. Ltd.,https://biomiddleeast.com/exhibitors/shenzhen-mellow-hope-pharm-industrial-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
25,KTT Pharmatech,H2.G04,,,,,,,KTT Pharmatech,https://biomiddleeast.com/exhibitors/ktt-pharmatech,https://biomiddleeast.com/exhibitor-list-2026
26,Arab Medical Containers,H1.U110I,,,,,,,Arab Medical Containers,https://biomiddleeast.com/exhibitors/arab-medical-containers,https://biomiddleeast.com/exhibitor-list-2026
27,Shenzhen Mellow Hope Pharm Industrial Co. Ltd.,H2.G78,,,,,,,Shenzhen Mellow Hope Pharm Industrial Co. Ltd.,https://biomiddleeast.com/exhibitors/shenzhen-mellow-hope-pharm-industrial-co-ltd-0,https://biomiddleeast.com/exhibitor-list-2026
28,Arab Medical Containers,H1.U110I,,,,,,,Arab Medical Containers,https://biomiddleeast.com/exhibitors/arab-medical-containers-0,https://biomiddleeast.com/exhibitor-list-2026
29,Metina Pharmconsulting PVT. LTd.,H2.C45,,,,,,,Metina Pharmconsulting PVT. LTd.,https://biomiddleeast.com/exhibitors/metina-pharmconsulting-pvt-ltd-0,https://biomiddleeast.com/exhibitor-list-2026
30,KTT Pharmatech,H2.G04,,,,,,,KTT Pharmatech,https://biomiddleeast.com/exhibitors/ktt-pharmatech-0,https://biomiddleeast.com/exhibitor-list-2026
31,EUROGROUP LLC,SU.039,,,,,,,EUROGROUP LLC,https://biomiddleeast.com/exhibitors/eurogroup-llc-0,https://biomiddleeast.com/exhibitor-list-2026
32,Datwyler Pharma Packaging Belgium,H2.F69,,,,,,,Datwyler Pharma Packaging Belgium,https://biomiddleeast.com/exhibitors/datwyler-pharma-packaging-belgium,https://biomiddleeast.com/exhibitor-list-2026
33,Medical and Pharmaceutical Industry Technology and Development Center,H1.A60,,,,,,,Medical and Pharmaceutical Industry Technology and Development Center,https://biomiddleeast.com/exhibitors/medical-and-pharmaceutical-industry-technology-and-development-center,https://biomiddleeast.com/exhibitor-list-2026
34,Sartorius Stedim Biotech GmbH,,,,,,,,Sartorius Stedim Biotech GmbH,https://biomiddleeast.com/exhibitors/sartorius-stedim-biotech-gmbh,https://biomiddleeast.com/exhibitor-list-2026
