raw_row_number,company_name_raw,stand_no,sector,products,country,website_text,website_url,company_column,details
1,"2MBio Co., Ltd.",1-186,Crop Farming,,South Korea,,,"2MBio Co., Ltd.",
2,"4D Bios Co., Ltd.",1-377,Agriculture Technologies,"Hydroponics, Smart Farming, Vertical Farming",China,www.4d-bios.com,http://www.4d-bios.com,"4D Bios Co., Ltd.","Founded in 2018, 4D Bios is a leading innovator in Agriculture 4.0, dedicated to revolutionizing vertical farming through intelligent, standardized, and scalable solutions. By deeply integrating core technologies such as LED grow lighting, vertical farming systems, smart environmental controls, plant nutrition, and crop cultivation expertise, 4D Bios is building the world’s most advanced fully automated vertical farms.At 4D Bios, quality and safety are paramount. Our fully digitalized quality control systems guarantee that every harvest is free from pesticides, heavy metals, and synthetic additives, ensuring farm-to-table safety across diverse applications, from vegetables and strawberries to medicinal herbs and seedlings. Our proprietary AI+IoT ecosystem automates the entire cultivation process—from seeding to harvesting—achieving significantly improving yield efficiency."
3,Abdul Rahman Obaid Nafil Al-Harbi Agricultural Est.,4-280,,,Saudi Arabia,,,Abdul Rahman Obaid Nafil Al-Harbi Agricultural Est.,
4,Abdullah Mohammed Al-Rasheed & Partners Co.,1-419,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,www.al-rasheed.com.sa,http://www.al-rasheed.com.sa,Abdullah Mohammed Al-Rasheed & Partners Co.,
5,"AE Desarrollo & Crecimiento, S.L.U.",1-260,"Organic & Agro-Food, Agro-Food Processing & Packaging","Dairy Products, Agro-Food Production & Processing",Spain,aedesarrollo.com,http://aedesarrollo.com,"AE Desarrollo & Crecimiento, S.L.U.","Production and commercialization of alfalfa, wheat straw, grass, corn silage and livestock fiber pellets."
6,AFAQVET,1-420,,,Saudi Arabia,,,AFAQVET,
7,AGI EMEA SRL,4-470,Agro-Food Processing & Packaging,Refrigeration & Storage,Italy,www.aggrowth.com,http://www.aggrowth.com,AGI EMEA SRL,"AGI is one of the world’s leading manufacturer and solution provider of farm and commercial equipment. We understand that feeding the world requires a global network of infrastructure and technology to: store, blend, mix, convey, condition, process, and protect hundreds of millions of tons of agriculture inputs and crops. AGI equipment technology and services facilitate this global movement, from growing crops and moving them to market, to processing crops into feed for animals and food for people. Our complete catalogue includes silos, catwalks, ladders, platforms, as well as bucket elevators, chain conveyors, temperature sensing, sweeps, weighing, bagging dryers and more. From the first design, to manufacturing and installation, AGI delivers custom systems and solutions across a range of applications and industries, including small farms to industry grain traders, millers, feed mills and large port facilities. AGI has installations in over 100 countries with various climate conditions covering all 7 continents."
8,Agremax General Trading LLC,3-150,"Crop Farming, Poultry Livestock & Dairy Farming","Fertilizers & Pesticides, Animal Health & Technologies, Feeds & Additives",UAE,www.agremax.net,http://www.agremax.net/,Agremax General Trading LLC,"We are AGREMAX, an Emirates-Egyptian privately owned international Company founded in 2015, which supplies 1st class Egyptian Sugar Beet Pulp Pellets and Spanish Dehydrated Alfalfa.We are a certified member of GAFTA (Grain & Feed Trade Association) with ISO 9001, ISO 14001 & ISO 45001. AgreMax is also an official member of Agriculture Export Council, and we are the largest exporter of Egyptian Sugar Beet Pulp exporting more than 50% of Egypt SBPP (more than 350000 MT annually) worldwide to UK, Ireland, Japan, Korea, China, Middle East, Gulf and North Europe, supplying high quality products according to premium international standards.Our expert team handles the shipments professionally and smoothly to the destination country, with all the required documents according to the customer’s instructions. Thanks to our partners abroad for the trust and long-term business relation which is growing year after year."
9,Agrico International DMCC,3-170,"Organic & Agro-Food, Poultry Livestock & Dairy Farming","Dairy Products, Feeds & Additives",UAE,www.agricointl.com,http://www.agricointl.com/,Agrico International DMCC,"Headquartered in Dubai, AGRICO International is a leading home-grown agricultural commodity originator and trading house in the Middle East region.The company provides the finest livestock raw materials, food grains, and end-to-end supply chain management to a range of high-profile customers and government entities."
10,Agricool Group (Agritech for Trading Est.),1-467,,,Saudi Arabia,,,Agricool Group (Agritech for Trading Est.),
11,"Agricultural Machinery & Materials Co., Ltd. (AMMC)",5-228,"Crop Farming, Poultry Livestock & Dairy Farming, Agro-Food Processing & Packaging","Crop Protection, Fertilizers & Pesticides, Landscaping & Nurseries, Animal Health & Technologies, Feeds & Additives, Refrigeration & Storage",Saudi Arabia,www.ammc.com.sa,http://www.ammc.com.sa,"Agricultural Machinery & Materials Co., Ltd. (AMMC)","Pioneer Agricultural company with immersive activity since 1982 and specialized in providing agricultural inputs and the latest technology that support sustainability and innovation solutions.Products & Services: Crop Protection, Vet Services, Crop Nutrition, Seeds, Professional Pest Management, Irrigation, Landscaping, Nurseries Machinery & Tools"
12,Agricultural Technology Middle East Co.,4-394,,,Saudi Arabia,,,Agricultural Technology Middle East Co.,
13,Agrikal Tarim Ve San Minerallari Ltd. Şti (Fitsa),5-219,,,Turkiye,agrikal.com.tr,http://agrikal.com.tr/,Agrikal Tarim Ve San Minerallari Ltd. Şti (Fitsa),
14,Agrotech Tarim Ürün. San Ve Tic Ltd Şti,3-270,,,Turkiye,,,Agrotech Tarim Ürün. San Ve Tic Ltd Şti,
15,Agrovermi Middle East Organic Fertilizer Trading LLC,4-491,,,UAE,,,Agrovermi Middle East Organic Fertilizer Trading LLC,
16,Agtinium LLC,5-124,,,USA,,,Agtinium LLC,
17,Al Areen Company for Agri Fabric Production,4-390,,,Saudi Arabia,areenfabric.sa,http://areenfabric.sa/,Al Areen Company for Agri Fabric Production,
18,Al Dahra Khalijiah Company Limited,3-169,,,UAE,,,Al Dahra Khalijiah Company Limited,
19,Al Dayfe for Agricultural Investment Co.,4-469,"Crop Farming, Poultry Livestock & Dairy Farming, Organic & Agro-Food, Agro-Food Processing & Packaging, Aquaculture, Agriculture Technologies","Dairy Products, Frozen Foods, Dried & Canned Foods, Honey & Dates, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Animal Health & Technologies, Livestock Technologies, Agro-Food Production & Processing, Refrigeration & Storage, Greenhouses Solutions",Saudi Arabia,www.aldayfeagri.com,http://www.aldayfeagri.com,Al Dayfe for Agricultural Investment Co.,"Al Dayfe For Agricultural Investment Company was established in 1984. It is a member of Al Dayfe Holding Group. Nowadays and after more than 40 years of growth and keeping up with economic and technical changes, Al Dayfe For Agricultural Investment Company is considered as a one of the largest major companies that specialized in providing agricultural products and all its related services like ( Pesticides - seeds - fertilizers - agricultural equipment and spare parts, And also the gardening equipment and small agricultural tools has been established recently).And that is through its branches which are spread in most regions of the Kingdom of Saudi Arabia (15 branches / services centers), and its strategic partnerships with the most important local and international suppliers in agricultural products and services field.Our company becomes the exclusive agent for many international products (European, Australian, Chinese and Indian, …) and one of the authorized distributors for the most trusted local agricultural products by the consumer (SABIC).With our high ambition and inspiration that never stops through kingdom vision 2030, we continue in developing our business and enrich our services to reach to the largest target of valuable customers, who we consider them as our success partners and our primary priority by providing the products and services in a modern local spirit and with international standards of contribute to achieving food security for our society and future generations."
20,Al Hadaf Level Company For Trading,5-329,,,Saudi Arabia,,,Al Hadaf Level Company For Trading,
21,Al Jammaz Agriculture Company,4-349,"Agriculture Technologies, Crop Farming","Hydroponics, Vertical Farming, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",Saudi Arabia,www.aljammazag.com,http://www.aljammazag.com,Al Jammaz Agriculture Company,"Al-Jammaz Agriculture Company is one of the leading companies in the field of agriculture in providing modern agricultural techniques and technology that contribute to the development of the market and help achieve sustainable food production.Pesticides The latest technology is available from leading international companies such as FMC, Cortiva, Bayer Kocid, Aceto, UPL, Linco.In seeds is represented by several American and European companies, Rijk Zwaan, Suba, Agro tip, GSN and Heinz. In the field of feed, it owns the best American and Australian alfalfa from Forage Genetics, Seeds Technology and Marketing, Pioneer Cortiva, S&W and Imperial Valley Seeds, as well as fodder corn from Westek Inc.Fertilizers The company markets soluble and liquid fertilizers for many international companies, Chan Fert, Evergrow, Tessenderlo, Merstim, Rosier and Albion.Al-Jammaz Hydrotek is one of the main distributors in water and landscaping solutions, through its distribution of Kessel, ITC VALTICINO, POZZA, Hunter, Rheem, DAB and Charlotte."
22,Al Kayan Fertilizer Modern Co.,5-330,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,,,Al Kayan Fertilizer Modern Co.,
23,Al Khorayef Industries Co.,4-249,"Agriculture Technologies, Aquaculture","Smart Irrigation, Aquaculture Systems & Technologies",Saudi Arabia,www.alkhorayef.com,http://www.alkhorayef.com,Al Khorayef Industries Co.,"Al Khorayef Industries Company (AIC) is part of the Alkhorayef Group of Companies (AGC) which was founded in 1957. AIC is leading the industrial, agricultural & irrigation systems around the world. Operating in area of 91.000 M2, located in the 2nd industrial city, Riyadh. The division has a long and proud history in the agricultural sector.Today AIC is one of world’s big four manufacturers of large-scale irrigation systems having strong international presence in Europe, Russia, North America, South America, Australia, New Zealand, and Africa.AIC is globally helping food producers meet growing demand in a way that is both environmentally friendly and profitable.Over the years AIC has developed a full industrial in-house echo system that includes the fabrication and production of:• Irrigation Smart systems (center pivot and linear systems).• Pump solutions (deep well, horizontal, and canal pump solutions)• Steel & Polyethylene Lined Pipes• Electrical Generators Manufacturing (Power Generation & Control Panel Solutions)• Steel Engineering & Fabrication (skids, Canopies, mobile & modular units)• AIC LAB & Consulting Services• AIC Industrial Training Program"
24,Al Khumasia Company For Feed And Animals Products,1-230,"Poultry Livestock & Dairy Farming, Aquaculture","Animal Health & Technologies, Feeds & Additives, Aquaculture Nutrition",Saudi Arabia,khumasia.sa,http://khumasia.sa/,Al Khumasia Company For Feed And Animals Products,"Al-Khumasia Feed Company is a 100% Saudi company founded in 2002 and specializes in the field of animal production of various types. Al-Khamasiya is currently considered one of the most important and largest national companies working in the provision of feed, which produces different types of feed."
