raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,"Anhui Mascotop Electronic Co., Ltd",H4-410,,Electricity,Capacitor,China,www.mascotop.com,http://www.mascotop.com,"Anhui Mascotop Electronic Co., Ltd",,https://saudielenex.com/exhibitors-list/
2,Desiccant Rotors International,4-307,,,,India,,,Desiccant Rotors International,,https://saudielenex.com/exhibitors-list/
3,Ducati Energia,4-608,,Electricity,,Italy,,,Ducati Energia,,https://saudielenex.com/exhibitors-list/
4,ELKA d.o.o.,4-602,,Electricity,Cables & Wiring,Croatia,elka.hr,http://elka.hr/,ELKA d.o.o.,,https://saudielenex.com/exhibitors-list/
5,"Far East Cable Co., Ltd.",4-429,,Electricity,,China,,,"Far East Cable Co., Ltd.",,https://saudielenex.com/exhibitors-list/
6,"Fuan Vision Machinery & Electric Co., Ltd.",4-522,,,,China,,,"Fuan Vision Machinery & Electric Co., Ltd.",,https://saudielenex.com/exhibitors-list/
7,"Fujian ComapPower New Energy Co., Ltd.",4-525,,,,China,,,"Fujian ComapPower New Energy Co., Ltd.",,https://saudielenex.com/exhibitors-list/
8,"Fujian Everstrong Legapower Equipments Co., Ltd.",4-128,,,,China,,,"Fujian Everstrong Legapower Equipments Co., Ltd.",,https://saudielenex.com/exhibitors-list/
9,"Fujian Jinlongteng Power Engine & Machinery Co., Ltd.",4-521,,,,China,,,"Fujian Jinlongteng Power Engine & Machinery Co., Ltd.",,https://saudielenex.com/exhibitors-list/
10,"Guangdong Westinpower Co., Ltd.",4-114,,Electricity,,China,,,"Guangdong Westinpower Co., Ltd.",,https://saudielenex.com/exhibitors-list/
11,"Hangzhou Topele Import and Export Co., Ltd.",4-329,,Electricity,"Electrical Supplies, Switches & Controls, Cables & Wiring",China,www.topele.com,http://www.topele.com/,"Hangzhou Topele Import and Export Co., Ltd.",,https://saudielenex.com/exhibitors-list/
12,"Hebei Anmei Electrical Equipment Co., Ltd.",4-125,,Electricity,,China,,,"Hebei Anmei Electrical Equipment Co., Ltd.",,https://saudielenex.com/exhibitors-list/
13,"Henan Province Sendian Power Equipment Co., Ltd.",4-137,,,,China,,,"Henan Province Sendian Power Equipment Co., Ltd.",,https://saudielenex.com/exhibitors-list/
14,"International Sassin Electric Shanghai Co., Ltd.",4-328,,Electricity,,China,,,"International Sassin Electric Shanghai Co., Ltd.",,https://saudielenex.com/exhibitors-list/
15,Kstone,4-523,,,,China,,,Kstone,,https://saudielenex.com/exhibitors-list/
16,"Leaderful Technology Co., Ltd.",4-117,,Electricity,,China,,,"Leaderful Technology Co., Ltd.",,https://saudielenex.com/exhibitors-list/
17,"Shenzhen Bonseal New Materials Co., Ltd.",H4-408,,,,China,,,"Shenzhen Bonseal New Materials Co., Ltd.",,https://saudielenex.com/exhibitors-list/
18,Voltamp Energy,4-229,,,,Oman,,,Voltamp Energy,,https://saudielenex.com/exhibitors-list/
19,Xiamen Aosif Engineering Ltd.,4-124,,Electricity,Power Plant Equipment,China,www.aosif.com,http://www.aosif.com,Xiamen Aosif Engineering Ltd.,,https://saudielenex.com/exhibitors-list/
20,Yijan Dao,4-524,,,,China,,,Yijan Dao,,https://saudielenex.com/exhibitors-list/
21,"Zhejiang Fengfan Cable Fittings Co., Ltd.",H4-406,,Electricity,"Cable Cleats, Nylon Cable Ties, Stainless Steel Cable Ties",China,www.zjffdl.com,http://www.zjffdl.com,"Zhejiang Fengfan Cable Fittings Co., Ltd.",,https://saudielenex.com/exhibitors-list/
22,"Zhejiang Huapu Cable Co., Ltd.",4-115,,Electricity,,China,,,"Zhejiang Huapu Cable Co., Ltd.",,https://saudielenex.com/exhibitors-list/
23,"Zhejiang Renxin Lock Industry Co., Ltd.",4-121,,Electricity,"Transmission & Distribution, Switchgear & Transformers, Power Protection",China,www.renxinlock.com,http://www.renxinlock.com,"Zhejiang Renxin Lock Industry Co., Ltd.",,https://saudielenex.com/exhibitors-list/
24,"Zhejiang Universal Machinery Co.,Ltd",4-330,,,,China,,,"Zhejiang Universal Machinery Co.,Ltd",,https://saudielenex.com/exhibitors-list/
25,"Zhejiang Zhongzhe International CO.,Ltd",4-334,,,,China,,,"Zhejiang Zhongzhe International CO.,Ltd",,https://saudielenex.com/exhibitors-list/
26,"Zhejiang Zhongzheng Lock Industry Co., Ltd.",4-120,,Electricity,,China,,,"Zhejiang Zhongzheng Lock Industry Co., Ltd.",,https://saudielenex.com/exhibitors-list/
