raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,SLS Production LLC,,,events_mice_production,,,,,SLS Production LLC,awards headline sponsor,https://informaconnect.com/saudi-event-show/sponsors/headline-sponsor/
2,Buildup,,,events_mice_production,,,,,Buildup,awards platinum sponsor; also listed for exhibition sponsor roles,https://informaconnect.com/saudi-event-show/sponsors/platinum-sponsor/
3,Hadi Logistics & MENA Operations,,,events_mice_production,,,,,Hadi Logistics & MENA Operations,gold sponsor; source presents combined sponsor profile; not split,https://informaconnect.com/saudi-event-show/sponsors/gold-sponsor/
4,mediaPro,,,events_mice_production,,,,,mediaPro,exhibition headline sponsor; also AV/awards role,https://informaconnect.com/saudi-event-show/sponsors/headline-sponsor1/
5,GES Middle East,,,events_mice_production,,,,,GES Middle East,build partner; profile also references Visit by GES,https://informaconnect.com/saudi-event-show/sponsors/build-partner/
6,Simple Solutions,,,events_mice_production,,,,,Simple Solutions,stage build partner; also awards co-sponsor,https://informaconnect.com/saudi-event-show/sponsors/simple-solutions1/
7,TAIT,,,events_mice_production,,,,,TAIT,exhibition associate sponsor,https://informaconnect.com/saudi-event-show/sponsors/associate-sponsor/
8,Xenial Events,,,events_mice_production,,,,,Xenial Events,lanyard sponsor,https://informaconnect.com/saudi-event-show/sponsors/lanyard-sponsor/
9,Inspire Events,,,events_mice_production,,,,,Inspire Events,seminar sponsor,https://informaconnect.com/saudi-event-show/sponsors/seminar-sponsor/
10,eventlab,,,events_mice_production,,,,,eventlab,event staffing partner; official home also lists hostess partner,https://informaconnect.com/saudi-event-show/sponsors/event-crew-partner/
11,Rayqube Future Tech,,,events_mice_production,,,,,Rayqube Future Tech,technology activation partner,https://informaconnect.com/saudi-event-show/sponsors/technology-activation-partner/
12,Electra,,,events_mice_production,,,,,Electra,visitor lounge sponsor,https://informaconnect.com/saudi-event-show/
13,Fifteen Eleven Events,,,events_mice_production,,,,,Fifteen Eleven Events,awards category sponsor / featured Meet listing,https://informaconnect.com/saudi-event-show/
14,TheFridge,,,events_mice_production,,,,,TheFridge,entertainment partner and awards category sponsor,https://informaconnect.com/saudi-event-show/
15,Eventagrate,,,events_mice_production,,,,,Eventagrate,stage design and content partner / awards category sponsor,https://informaconnect.com/saudi-event-show/
16,Aggreko,,,events_mice_production,,,,,Aggreko,power partner,https://informaconnect.com/saudi-event-show/
17,Crystal Arc,,,events_mice_production,,,,,Crystal Arc,trophy partner,https://informaconnect.com/saudi-event-show/
18,WeClean966,,,events_mice_production,,,,,WeClean966,cleaning and waste management partner,https://informaconnect.com/saudi-event-show/
19,International Confex,,,events_mice_production,,,,,International Confex,exhibition partner,https://informaconnect.com/saudi-event-show/
20,KUDO,,,events_mice_production,,,,,KUDO,official translation partner,https://informaconnect.com/saudi-event-show/
21,Eye of Riyadh,,,events_mice_production,,,,,Eye of Riyadh,media partner,https://informaconnect.com/saudi-event-show/
